ano;origem;part;valor
2011;Municipal;1º Decil;897.08
2011;Executivo Municipal;1º Decil;897.08
2011;Legislativo Municipal;1º Decil;930.31
2010;Público;1º Decil;946.08
2010;Executivo;1º Decil;937.78
2010;Judiciário;1º Decil;3543.64
2010;Legislativo;1º Decil;970.97
2010;Estadual;1º Decil;1153.55
2010;Executivo Estadual;1º Decil;1136.95
2010;Judiciário Estadual;1º Decil;3361.07
2010;Legislativo Estadual;1º Decil;1161.85
2010;Federal;1º Decil;1692.98
2010;Executivo Federal;1º Decil;1609.99
2010;Judiciário Federal;1º Decil;5311.32
2010;Legislativo Federal;1º Decil;1319.53
2010;Municipal;1º Decil;871.39
2010;Executivo Municipal;1º Decil;871.39
2010;Legislativo Municipal;1º Decil;904.58
2009;Público;1º Decil;898.35
2009;Executivo;1º Decil;898.35
2009;Judiciário;1º Decil;3341.25
2009;Legislativo;1º Decil;985.04
2009;Estadual;1º Decil;1111.12
2009;Executivo Estadual;1º Decil;1095.36
2009;Judiciário Estadual;1º Decil;3167.88
2009;Legislativo Estadual;1º Decil;1182.05
2009;Federal;1º Decil;2048.88
2009;Executivo Federal;1º Decil;1985.84
2009;Judiciário Federal;1º Decil;7210.47
2009;Legislativo Federal;1º Decil;1371.17
2009;Municipal;1º Decil;835.31
2009;Executivo Municipal;1º Decil;835.31
2009;Legislativo Municipal;1º Decil;882.59
2008;Público;1º Decil;859.9
2008;Executivo;1º Decil;852.55
2008;Judiciário;1º Decil;3152.97
2008;Legislativo;1º Decil;933.4
2008;Estadual;1º Decil;1058.34
2008;Executivo Estadual;1º Decil;1050.99
2008;Judiciário Estadual;1º Decil;3020.68
2008;Legislativo Estadual;1º Decil;1234.73
2008;Federal;1º Decil;1903.54
2008;Executivo Federal;1º Decil;1866.79
2008;Judiciário Federal;1º Decil;6408.83
2008;Legislativo Federal;1º Decil;1249.43
2008;Municipal;1º Decil;786.41
2008;Executivo Municipal;1º Decil;786.41
2008;Legislativo Municipal;1º Decil;845.2
2007;Público;1º Decil;819.97
2007;Executivo;1º Decil;812.84
2007;Judiciário;1º Decil;3094.51
2007;Legislativo;1º Decil;934.06
2007;Estadual;1º Decil;1041.01
2007;Executivo Estadual;1º Decil;1026.75
2007;Judiciário Estadual;1º Decil;2844.95
2007;Legislativo Estadual;1º Decil;1240.66
2007;Federal;1º Decil;1504.47
2007;Executivo Federal;1º Decil;1490.21
2007;Judiciário Federal;1º Decil;6210.41
2007;Legislativo Federal;1º Decil;1219.27
2007;Municipal;1º Decil;748.67
2007;Executivo Municipal;1º Decil;748.67
2007;Legislativo Municipal;1º Decil;827.1
2006;Público;1º Decil;773.24
2006;Executivo;1º Decil;766.52
2006;Judiciário;1º Decil;2884.52
2006;Legislativo;1º Decil;880.82
2006;Estadual;1º Decil;1022.02
2006;Executivo Estadual;1º Decil;1008.57
2006;Judiciário Estadual;1º Decil;2622.29
2006;Legislativo Estadual;1º Decil;1385.11
2006;Federal;1º Decil;1902.84
2006;Executivo Federal;1º Decil;1795.26
2006;Judiciário Federal;1º Decil;5358.88
2006;Legislativo Federal;1º Decil;1485.96
2006;Municipal;1º Decil;699.28
2006;Executivo Municipal;1º Decil;699.28
2006;Legislativo Municipal;1º Decil;773.24
2005;Público;1º Decil;683.84
2005;Executivo;1º Decil;677.95
2005;Judiciário;1º Decil;2670.53
2005;Legislativo;1º Decil;831.22
2005;Estadual;1º Decil;919.65
2005;Executivo Estadual;1º Decil;907.86
2005;Judiciário Estadual;1º Decil;2399.35
2005;Legislativo Estadual;1º Decil;1332.32
2005;Federal;1º Decil;1621.18
2005;Executivo Federal;1º Decil;1532.75
2005;Judiciário Federal;1º Decil;4893.02
2005;Legislativo Federal;1º Decil;1680.13
2005;Municipal;1º Decil;619.0
2005;Executivo Municipal;1º Decil;619.0
2005;Legislativo Municipal;1º Decil;689.74
2004;Público;1º Decil;650.36
2004;Executivo;1º Decil;644.85
